outfit_id,gender,style,season,temp_level,top,outer,bottom,shoes,accessories,image_link
28,女裝,正式,summer,hot,細肩帶上衣搭罩衫,薄牛仔外套,寬褲,樂福鞋,帆布托特包,https://example.com/look_28
29,女裝,正式,summer,hot,合身襯衫,亞麻襯衫外套,針織長裙,踝靴,圍巾,https://example.com/look_29
30,女裝,正式,summer,hot,高領針織衫,運動外套,內搭褲,麂皮靴,毛帽,https://example.com/look_30
31,女裝,正式,fall,cool,雪紡襯衫,風衣外套,高腰牛仔短褲,低跟皮鞋,棒球帽,https://example.com/look_31
32,女裝,正式,fall,cool,西裝背心,牛仔外套,九分牛仔褲,尖頭跟鞋,小肩背包,https://example.com/look_32
33,女裝,正式,fall,cool,細肩帶上衣搭罩衫,薄鋪棉外套,寬褲,樂福鞋,帆布托特包,https://example.com/look_33
34,女裝,正式,fall,cool,合身襯衫,針織開襟衫,針織長裙,踝靴,圍巾,https://example.com/look_34
35,女裝,正式,fall,cool,高領針織衫,西裝外套,內搭褲,麂皮靴,毛帽,https://example.com/look_35
36,女裝,正式,winter,cold,雪紡襯衫,厚羽絨外套,高腰牛仔短褲,低跟皮鞋,棒球帽,https://example.com/look_36
37,女裝,正式,winter,cold,西裝背心,長版大衣,九分牛仔褲,尖頭跟鞋,小肩背包,https://example.com/look_37
38,女裝,正式,winter,cold,細肩帶上衣搭罩衫,鋪棉外套,寬褲,樂福鞋,帆布托特包,https://example.com/look_38
39,女裝,正式,winter,cold,合身襯衫,呢大衣,針織長裙,踝靴,圍巾,https://example.com/look_39
40,女裝,正式,winter,cold,高領針織衫,連帽羽絨外套,內搭褲,麂皮靴,毛帽,https://example.com/look_40
41,女裝,運動,spring,warm,運動背心,薄針織外套,高腰牛仔短褲,跑步鞋,棒球帽,https://example.com/look_41
42,女裝,運動,spring,warm,排汗T恤,牛仔外套,九分牛仔褲,訓練鞋,小肩背包,https://example.com/look_42
43,女裝,運動,spring,warm,長袖運動上衣,輕薄風衣,寬褲,籃球鞋,帆布托特包,https://example.com/look_43
44,女裝,運動,spring,warm,連帽運動外套,開襟外套,針織長裙,慢跑鞋,圍巾,https://example.com/look_44
45,女裝,運動,spring,warm,壓縮上衣,薄西裝外套,內搭褲,戶外運動鞋,毛帽,https://example.com/look_45
46,女裝,運動,summer,hot,運動背心,無外套,高腰牛仔短褲,跑步鞋,棒球帽,https://example.com/look_46
47,女裝,運動,summer,hot,排汗T恤,薄罩衫,九分牛仔褲,訓練鞋,小肩背包,https://example.com/look_47
48,女裝,運動,summer,hot,長袖運動上衣,薄牛仔外套,寬褲,籃球鞋,帆布托特包,https://example.com/look_48
49,女裝,運動,summer,hot,連帽運動外套,亞麻襯衫外套,針織長裙,慢跑鞋,圍巾,https://example.com/look_49
50,女裝,運動,summer,hot,壓縮上衣,運動外套,內搭褲,戶外運動鞋,毛帽,https://example.com/look_50
51,女裝,運動,fall,cool,運動背心,風衣外套,高腰牛仔短褲,跑步鞋,棒球帽,https://example.com/look_51
52,女裝,運動,fall,cool,排汗T恤,牛仔外套,九分牛仔褲,訓練鞋,小肩背包,https://example.com/look_52
53,女裝,運動,fall,cool,長袖運動上衣,薄鋪棉外套,寬褲,籃球鞋,帆布托特包,https://example.com/look_53
54,女裝,運動,fall,cool,連帽運動外套,針織開襟衫,針織長裙,慢跑鞋,圍巾,https://example.com/look_54
55,女裝,運動,fall,cool,壓縮上衣,西裝外套,內搭褲,戶外運動鞋,毛帽,https://example.com/look_55
56,女裝,運動,winter,cold,運動背心,厚羽絨外套,高腰牛仔短褲,跑步鞋,棒球帽,https://example.com/look_56
57,女裝,運動,winter,cold,排汗T恤,長版大衣,九分牛仔褲,訓練鞋,小肩背包,https://example.com/look_57
58,女裝,運動,winter,cold,長袖運動上衣,鋪棉外套,寬褲,籃球鞋,帆布托特包,https://example.com/look_58
59,女裝,運動,winter,cold,連帽運動外套,呢大衣,針織長裙,慢跑鞋,圍巾,https://example.com/look_59
60,女裝,運動,winter,cold,壓縮上衣,連帽羽絨外套,內搭褲,戶外運動鞋,毛帽,https://example.com/look_60
61,男裝,休閒,spring,warm,素色T恤,薄針織外套,棉質短褲,帆布鞋,棒球帽,https://example.com/look_61
62,男裝,休閒,spring,warm,口袋T恤,牛仔外套,直筒牛仔褲,白色球鞋,小肩背包,https://example.com/look_62
63,男裝,休閒,spring,warm,格紋襯衫,輕薄風衣,卡其長褲,樂福鞋,帆布托特包,https://example.com/look_63
64,男裝,休閒,spring,warm,針織毛衣,開襟外套,厚質長褲,踝靴,圍巾,https://example.com/look_64
65,男裝,休閒,spring,warm,連帽上衣,薄西裝外套,運動長褲,麂皮靴,毛帽,https://example.com/look_65
66,男裝,休閒,summer,hot,素色T恤,無外套,棉質短褲,帆布鞋,棒球帽,https://example.com/look_66
67,男裝,休閒,summer,hot,口袋T恤,薄罩衫,直筒牛仔褲,白色球鞋,小肩背包,https://example.com/look_67
68,男裝,休閒,summer,hot,格紋襯衫,薄牛仔外套,卡其長褲,樂福鞋,帆布托特包,https://example.com/look_68
69,男裝,休閒,summer,hot,針織毛衣,亞麻襯衫外套,厚質長褲,踝靴,圍巾,https://example.com/look_69
70,男裝,休閒,summer,hot,連帽上衣,運動外套,運動長褲,麂皮靴,毛帽,https://example.com/look_70
71,男裝,休閒,fall,cool,素色T恤,風衣外套,棉質短褲,帆布鞋,棒球帽,https://example.com/look_71
72,男裝,休閒,fall,cool,口袋T恤,牛仔外套,直筒牛仔褲,白色球鞋,小肩背包,https://example.com/look_72
73,男裝,休閒,fall,cool,格紋襯衫,薄鋪棉外套,卡其長褲,樂福鞋,帆布托特包,https://example.com/look_73
74,男裝,休閒,fall,cool,針織毛衣,針織開襟衫,厚質長褲,踝靴,圍巾,https://example.com/look_74
75,男裝,休閒,fall,cool,連帽上衣,西裝外套,運動長褲,麂皮靴,毛帽,https://example.com/look_75
76,男裝,休閒,winter,cold,素色T恤,厚羽絨外套,棉質短褲,帆布鞋,棒球帽,https://example.com/look_76
77,男裝,休閒,winter,cold,口袋T恤,長版大衣,直筒牛仔褲,白色球鞋,小肩背包,https://example.com/look_77
78,男裝,休閒,winter,cold,格紋襯衫,鋪棉外套,卡其長褲,樂福鞋,帆布托特包,https://example.com/look_78
79,男裝,休閒,winter,cold,針織毛衣,呢大衣,厚質長褲,踝靴,圍巾,https://example.com/look_79
80,男裝,休閒,winter,cold,連帽上衣,連帽羽絨外套,運動長褲,麂皮靴,毛帽,https://example.com/look_80
81,男裝,正式,spring,warm,白襯衫,薄針織外套,棉質短褲,牛津鞋,棒球帽,https://example.com/look_81
82,男裝,正式,spring,warm,條紋襯衫,牛仔外套,直筒牛仔褲,德比鞋,小肩背包,https://example.com/look_82
83,男裝,正式,spring,warm,薄款高領上衣,輕薄風衣,卡其長褲,皮革短靴,帆布托特包,https://example.com/look_83
84,男裝,正式,spring,warm,正式襯衫,開襟外套,厚質長褲,樂福鞋,圍巾,https://example.com/look_84
85,男裝,正式,spring,warm,羊毛高領衫,薄西裝外套,運動長褲,皮革短靴,毛帽,https://example.com/look_85
86,男裝,正式,summer,hot,白襯衫,無外套,棉質短褲,牛津鞋,棒球帽,https://example.com/look_86
87,男裝,正式,summer,hot,條紋襯衫,薄罩衫,直筒牛仔褲,德比鞋,小肩背包,https://example.com/look_87
88,男裝,正式,summer,hot,薄款高領上衣,薄牛仔外套,卡其長褲,皮革短靴,帆布托特包,https://example.com/look_88
89,男裝,正式,summer,hot,正式襯衫,亞麻襯衫外套,厚質長褲,樂福鞋,圍巾,https://example.com/look_89
90,男裝,正式,summer,hot,羊毛高領衫,運動外套,運動長褲,皮革短靴,毛帽,https://example.com/look_90
91,男裝,正式,fall,cool,白襯衫,風衣外套,棉質短褲,牛津鞋,棒球帽,https://example.com/look_91
92,男裝,正式,fall,cool,條紋襯衫,牛仔外套,直筒牛仔褲,德比鞋,小肩背包,https://example.com/look_92
93,男裝,正式,fall,cool,薄款高領上衣,薄鋪棉外套,卡其長褲,皮革短靴,帆布托特包,https://example.com/look_93
94,男裝,正式,fall,cool,正式襯衫,針織開襟衫,厚質長褲,樂福鞋,圍巾,https://example.com/look_94
95,男裝,正式,fall,cool,羊毛高領衫,西裝外套,運動長褲,皮革短靴,毛帽,https://example.com/look_95
96,男裝,正式,winter,cold,白襯衫,厚羽絨外套,棉質短褲,牛津鞋,棒球帽,https://example.com/look_96
97,男裝,正式,winter,cold,條紋襯衫,長版大衣,直筒牛仔褲,德比鞋,小肩背包,https://example.com/look_97
98,男裝,正式,winter,cold,薄款高領上衣,鋪棉外套,卡其長褲,皮革短靴,帆布托特包,https://example.com/look_98
99,男裝,正式,winter,cold,正式襯衫,呢大衣,厚質長褲,樂福鞋,圍巾,https://example.com/look_99
100,男裝,正式,winter,cold,羊毛高領衫,連帽羽絨外套,運動長褲,皮革短靴,毛帽,https://example.com/look_100
101,男裝,運動,spring,warm,運動背心,薄針織外套,棉質短褲,跑步鞋,棒球帽,https://example.com/look_101
102,男裝,運動,spring,warm,排汗T恤,牛仔外套,直筒牛仔褲,訓練鞋,小肩背包,https://example.com/look_102
103,男裝,運動,spring,warm,長袖運動上衣,輕薄風衣,卡其長褲,籃球鞋,帆布托特包,https://example.com/look_103
104,男裝,運動,spring,warm,連帽運動外套,開襟外套,厚質長褲,慢跑鞋,圍巾,https://example.com/look_104
105,男裝,運動,spring,warm,壓縮上衣,薄西裝外套,運動長褲,戶外運動鞋,毛帽,https://example.com/look_105
106,男裝,運動,summer,hot,運動背心,無外套,棉質短褲,跑步鞋,棒球帽,https://example.com/look_106
107,男裝,運動,summer,hot,排汗T恤,薄罩衫,直筒牛仔褲,訓練鞋,小肩背包,https://example.com/look_107
108,男裝,運動,summer,hot,長袖運動上衣,薄牛仔外套,卡其長褲,籃球鞋,帆布托特包,https://example.com/look_108
109,男裝,運動,summer,hot,連帽運動外套,亞麻襯衫外套,厚質長褲,慢跑鞋,圍巾,https://example.com/look_109
110,男裝,運動,summer,hot,壓縮上衣,運動外套,運動長褲,戶外運動鞋,毛帽,https://example.com/look_110
111,男裝,運動,fall,cool,運動背心,風衣外套,棉質短褲,跑步鞋,棒球帽,https://example.com/look_111
112,男裝,運動,fall,cool,排汗T恤,牛仔外套,直筒牛仔褲,訓練鞋,小肩背包,https://example.com/look_112
113,男裝,運動,fall,cool,長袖運動上衣,薄鋪棉外套,卡其長褲,籃球鞋,帆布托特包,https://example.com/look_113
114,男裝,運動,fall,cool,連帽運動外套,針織開襟衫,厚質長褲,慢跑鞋,圍巾,https://example.com/look_114
115,男裝,運動,fall,cool,壓縮上衣,西裝外套,運動長褲,戶外運動鞋,毛帽,https://example.com/look_115
116,男裝,運動,winter,cold,運動背心,厚羽絨外套,棉質短褲,跑步鞋,棒球帽,https://example.com/look_116
117,男裝,運動,winter,cold,排汗T恤,長版大衣,直筒牛仔褲,訓練鞋,小肩背包,https://example.com/look_117
118,男裝,運動,winter,cold,長袖運動上衣,鋪棉外套,卡其長褲,籃球鞋,帆布托特包,https://example.com/look_118
119,男裝,運動,winter,cold,連帽運動外套,呢大衣,厚質長褲,慢跑鞋,圍巾,https://example.com/look_119
120,男裝,運動,winter,cold,壓縮上衣,連帽羽絨外套,運動長褲,戶外運動鞋,毛帽,https://example.com/look_120
121,童裝,休閒,spring,warm,圖案T恤,薄外套,棉質短褲,魔鬼氈球鞋,棒球帽,https://example.com/look_121
122,童裝,休閒,spring,warm,條紋上衣,牛仔外套,牛仔長褲,運動鞋,小背包,https://example.com/look_122
123,童裝,休閒,spring,warm,連帽上衣,輕薄風衣,棉質長褲,帆布鞋,髮箍,https://example.com/look_123
124,童裝,休閒,spring,warm,棉質長袖上衣,開襟外套,吊帶褲,運動鞋,圍巾,https://example.com/look_124
125,童裝,休閒,spring,warm,動物圖案上衣,薄針織外套,七分褲,休閒鞋,小斜背包,https://example.com/look_125
126,童裝,休閒,summer,hot,圖案T恤,無外套,棉質短褲,涼鞋,遮陽帽,https://example.com/look_126
127,童裝,休閒,summer,hot,無袖上衣,薄罩衫,牛仔短褲,運動涼鞋,小背包,https://example.com/look_127
128,童裝,休閒,summer,hot,連身短裙,無外套,打底褲,娃娃鞋,髮夾,https://example.com/look_128
129,童裝,休閒,summer,hot,POLO衫,無外套,休閒短褲,球鞋,棒球帽,https://example.com/look_129
130,童裝,休閒,summer,hot,寬鬆背心,薄棉外套,棉質短褲,涼鞋,小側背包,https://example.com/look_130
131,童裝,休閒,fall,cool,圖案T恤,牛仔外套,牛仔長褲,運動鞋,毛線帽,https://example.com/look_131
132,童裝,休閒,fall,cool,條紋長袖上衣,薄鋪棉外套,棉質長褲,帆布鞋,圍巾,https://example.com/look_132
133,童裝,休閒,fall,cool,連帽上衣,針織外套,打摺長褲,球鞋,小背包,https://example.com/look_133
134,童裝,休閒,fall,cool,棉質長袖上衣,格紋襯衫外套,吊帶褲,運動鞋,髮箍,https://example.com/look_134
135,童裝,休閒,fall,cool,動物圖案上衣,連帽薄外套,七分褲,休閒鞋,小斜背包,https://example.com/look_135
136,童裝,休閒,winter,cold,厚棉T恤,厚羽絨外套,燈芯絨長褲,雪靴,毛帽,https://example.com/look_136
137,童裝,休閒,winter,cold,高領針織衫,鋪棉外套,棉質內搭褲,運動鞋,圍巾手套組,https://example.com/look_137
138,童裝,休閒,winter,cold,連帽衛衣,長版鋪棉外套,牛仔長褲,球鞋,毛線帽,https://example.com/look_138
139,童裝,休閒,winter,cold,針織上衣,呢大衣,保暖長褲,短靴,耳罩,https://example.com/look_139
140,童裝,休閒,winter,cold,絨毛上衣,連帽羽絨外套,抓絨內搭褲,雪靴,圍巾,https://example.com/look_140
141,童裝,正式,spring,warm,白色襯衫,薄針織外套,卡其長褲,樂福鞋,小領結,https://example.com/look_141
142,童裝,正式,spring,warm,碎花洋裝,薄外套,打底褲,娃娃鞋,髮箍,https://example.com/look_142
143,童裝,正式,spring,warm,格紋襯衫,輕薄風衣,西裝短褲,牛津鞋,吊帶,https://example.com/look_143
144,童裝,正式,spring,warm,襯衫連身裙,開襟外套,褲襪,包頭鞋,小手提包,https://example.com/look_144
145,童裝,正式,spring,warm,立領上衣,薄西裝外套,修身長褲,皮鞋,蝴蝶結領結,https://example.com/look_145
146,童裝,正式,summer,hot,輕薄襯衫,無外套,卡其短褲,樂福鞋,草帽,https://example.com/look_146
147,童裝,正式,summer,hot,雪紡洋裝,無外套,薄打底褲,涼鞋,髮夾,https://example.com/look_147
148,童裝,正式,summer,hot,條紋POLO衫,無外套,西裝短褲,牛津鞋,吊帶,https://example.com/look_148
149,童裝,正式,summer,hot,襯衫連身裙,薄罩衫,薄褲襪,娃娃鞋,小項鍊,https://example.com/look_149
150,童裝,正式,summer,hot,立領上衣,薄西裝背心,修身短褲,皮鞋,小領結,https://example.com/look_150
151,童裝,正式,fall,cool,白色襯衫,風衣外套,卡其長褲,樂福鞋,小領結,https://example.com/look_151
152,童裝,正式,fall,cool,碎花洋裝,針織外套,打底褲,娃娃鞋,髮箍,https://example.com/look_152
153,童裝,正式,fall,cool,格紋襯衫,薄鋪棉外套,西裝長褲,牛津鞋,吊帶,https://example.com/look_153
154,童裝,正式,fall,cool,襯衫連身裙,長版針織外套,褲襪,包頭鞋,小手提包,https://example.com/look_154
155,童裝,正式,fall,cool,立領上衣,西裝外套,修身長褲,皮鞋,蝴蝶結領結,https://example.com/look_155
156,童裝,正式,winter,cold,厚棉襯衫,厚大衣,保暖長褲,樂福鞋,圍巾,https://example.com/look_156
157,童裝,正式,winter,cold,燈芯絨洋裝,鋪棉外套,厚褲襪,包頭鞋,毛線帽,https://example.com/look_157
158,童裝,正式,winter,cold,高領針織衫,厚西裝外套,西裝長褲,牛津鞋,圍巾,https://example.com/look_158
159,童裝,正式,winter,cold,襯衫連身裙,呢大衣,加厚褲襪,短靴,耳罩,https://example.com/look_159
160,童裝,正式,winter,cold,絨毛上衣,連帽羽絨外套,保暖長褲,皮鞋,手套,https://example.com/look_160
161,童裝,運動,spring,warm,運動T恤,薄運動外套,運動短褲,跑步鞋,棒球帽,https://example.com/look_161
162,童裝,運動,spring,warm,長袖運動上衣,薄風衣,運動長褲,球鞋,小運動背包,https://example.com/look_162
163,童裝,運動,spring,warm,排汗背心,連帽運動外套,七分運動褲,慢跑鞋,毛巾,https://example.com/look_163
164,童裝,運動,spring,warm,條紋運動上衣,輕薄外套,運動長褲,籃球鞋,護腕,https://example.com/look_164
165,童裝,運動,spring,warm,印花T恤,薄拉鍊外套,棉質長褲,訓練鞋,髮箍,https://example.com/look_165
166,童裝,運動,summer,hot,運動背心,無外套,運動短褲,跑步鞋,遮陽帽,https://example.com/look_166
167,童裝,運動,summer,hot,排汗T恤,無外套,七分運動褲,球鞋,汗帶,https://example.com/look_167
168,童裝,運動,summer,hot,無袖運動上衣,薄運動外套,運動短褲,慢跑鞋,小腰包,https://example.com/look_168
169,童裝,運動,summer,hot,印花運動T,薄罩衫,棉質短褲,訓練鞋,毛巾,https://example.com/look_169
170,童裝,運動,summer,hot,條紋運動上衣,無外套,運動短褲,球鞋,棒球帽,https://example.com/look_170
171,童裝,運動,fall,cool,運動T恤,運動外套,運動長褲,跑步鞋,棒球帽,https://example.com/look_171
172,童裝,運動,fall,cool,長袖運動上衣,薄鋪棉外套,運動長褲,球鞋,小運動背包,https://example.com/look_172
173,童裝,運動,fall,cool,排汗背心,連帽運動外套,七分運動褲,慢跑鞋,毛巾,https://example.com/look_173
174,童裝,運動,fall,cool,條紋運動上衣,針織外套,運動長褲,籃球鞋,護腕,https://example.com/look_174
175,童裝,運動,fall,cool,印花T恤,連帽外套,棉質長褲,訓練鞋,髮箍,https://example.com/look_175
176,童裝,運動,winter,cold,厚棉運動上衣,厚運動外套,抓絨運動褲,跑步鞋,毛帽,https://example.com/look_176
177,童裝,運動,winter,cold,高領運動上衣,鋪棉外套,運動長褲,球鞋,圍巾,https://example.com/look_177
178,童裝,運動,winter,cold,連帽衛衣,連帽羽絨外套,抓絨長褲,慢跑鞋,手套,https://example.com/look_178
179,童裝,運動,winter,cold,排汗長袖上衣,厚外套,運動長褲,訓練鞋,毛線帽,https://example.com/look_179
180,童裝,運動,winter,cold,印花運動T,大絨外套,保暖運動褲,球鞋,頸套,https://example.com/look_180
