outfit_id,gender,style,temp_level,top,outer,bottom,shoes,,accessories,,,top,,,bottom,,shoes,,,outer,,accessories
106,男裝,運動,hot,運動背心,無外套,棉質短褲,跑步鞋,,棒球帽,,,,,,,,,,,,,
107,男裝,運動,hot,排汗T恤,薄罩衫,直筒牛仔褲,訓練鞋,,小肩背包,,,,,,,,,,,,,
108,男裝,運動,hot,長袖運動上衣,薄牛仔外套,卡其長褲,籃球鞋,,帆布托特包,,,,,,,,,,,,,
109,男裝,運動,hot,連帽運動外套,亞麻襯衫外套,厚質長褲,慢跑鞋,,圍巾,,,,,,,,,,,,,
110,男裝,運動,hot,壓縮上衣,運動外套,運動長褲,戶外運動鞋,,毛帽,,,,,,,,,,,,,
111,男裝,運動,cool,運動背心,風衣外套,棉質短褲,跑步鞋,,棒球帽,,,,,,,,,,,,,
112,男裝,運動,cool,排汗T恤,牛仔外套,直筒牛仔褲,訓練鞋,,小肩背包,,,,,,,,,,,,,
113,男裝,運動,cool,長袖運動上衣,薄鋪棉外套,卡其長褲,籃球鞋,,帆布托特包,,,,,,,,,,,,,
114,男裝,運動,cool,連帽運動外套,針織開襟衫,厚質長褲,慢跑鞋,,圍巾,,,,,,,,,,,,,
115,男裝,運動,cool,壓縮上衣,西裝外套,運動長褲,戶外運動鞋,,毛帽,,,,,,,,,,,,,
116,男裝,運動,cold,運動背心,厚羽絨外套,棉質短褲,跑步鞋,,棒球帽,,,,,,,,,,,,,
117,男裝,運動,cold,排汗T恤,長版大衣,直筒牛仔褲,訓練鞋,,小肩背包,,,,,,,,,,,,,
118,男裝,運動,cold,長袖運動上衣,鋪棉外套,卡其長褲,籃球鞋,,帆布托特包,,,,,,,,,,,,,
119,男裝,運動,cold,連帽運動外套,呢大衣,厚質長褲,慢跑鞋,,圍巾,,,,,,,,,,,,,
120,男裝,運動,cold,壓縮上衣,連帽羽絨外套,運動長褲,戶外運動鞋,,毛帽,,,,,,,,,,,,,
